index_code,stock_code,weight
930606,1203,3.18
930606,2075,2.491
930606,2110,1.332
930606,2132,1.091
930606,2318,5.668
930606,2443,0.892
930606,2478,1.536
930606,2722,0.518
930606,300881,0.326
930606,301160,1.076
930606,600010,9.356
930606,600019,9.285
930606,600022,2.175
930606,600126,2.979
930606,600231,0.51
930606,600282,3.542
930606,600295,2.31
930606,600307,1.489
930606,600382,1.14
930606,600399,2.224
930606,600408,0.7
930606,600507,2.216
930606,600569,0.719
930606,600581,0.55
930606,600782,1.905
930606,600808,2.464
930606,600992,0.669
930606,601003,0.677
930606,601005,2.208
930606,601121,0.825
930606,601686,1.133
930606,601969,1.862
930606,603278,0.522
930606,603878,0.852
930606,603969,1.285
930606,603995,1.041
930606,605158,0.321
930606,655,0.774
930606,708,4.084
930606,709,2.557
930606,717,0.785
930606,761,0.66
930606,778,2.959
930606,825,2.936
930606,898,1.553
930606,920751,0.405
930606,923,2.721
930606,932,5.336
930606,959,2.163
930614,000009,0.983
930614,000883,0.555
930614,001289,0.134
930614,002056,0.93
930614,002074,2.33
930614,002129,1.724
930614,002202,3.573
930614,002340,2.596
930614,002459,1.272
930614,002709,3.283
930614,002812,1.702
930614,002850,1.677
930614,003816,1.716
930614,1289,0.134
930614,2056,0.93
930614,2074,2.33
930614,2129,1.724
930614,2202,3.573
930614,2340,2.596
930614,2459,1.272
930614,2709,3.283
930614,2812,1.702
930614,2850,1.677
930614,300014,4.167
930614,300037,1.502
930614,300274,3.86
930614,300316,1.651
930614,300450,3.584
930614,300724,2.173
930614,300750,4.2
930614,300751,2.948
930614,300757,2.161
930614,300763,1.12
930614,300919,1.455
930614,301358,1.626
930614,3816,1.716
930614,600025,0.958
930614,600089,5.781
930614,600236,0.523
930614,600438,2.785
930614,600674,1.537
930614,600886,1.734
930614,600900,4.455
930614,600905,3.327
930614,600930,0.994
930614,600995,0.736
930614,601012,4.658
930614,601615,2.377
930614,601865,0.694
930614,601985,4.012
930614,603568,1.064
930614,603659,1.677
930614,603806,1.005
930614,605117,1.727
930614,688223,1.435
930614,688303,0.884
930614,688349,0.361
930614,688472,1.277
930614,688599,1.493
930614,688778,0.987
930614,883,0.555
930614,9,0.983
930614,920185,0.597
930616,000156,0.617
930616,000558,0.368
930616,000676,0.729
930616,000681,0.989
930616,000719,0.3
930616,000888,0.393
930616,000917,1.19
930616,002027,5.569
930616,002103,0.237
930616,002131,4.828
930616,002174,0.91
930616,002181,0.436
930616,002195,4.26
930616,002238,0.205
930616,002292,0.636
930616,002301,0.258
930616,002354,0.937
930616,002400,1.617
930616,002517,3.259
930616,002555,3.142
930616,002558,4.557
930616,002605,0.415
930616,002624,1.957
930616,002626,0.444
930616,002654,0.826
930616,002701,0.803
930616,002739,1.339
930616,002768,0.609
930616,002832,0.395
930616,156,0.617
930616,2027,5.569
930616,2103,0.237
930616,2131,4.828
930616,2174,0.91
930616,2181,0.436
930616,2195,4.26
930616,2238,0.205
930616,2292,0.636
930616,2301,0.258
930616,2354,0.937
930616,2400,1.617
930616,2517,3.259
930616,2555,3.142
930616,2558,4.557
930616,2605,0.415
930616,2624,1.957
930616,2626,0.444
930616,2654,0.826
930616,2701,0.803
930616,2739,1.339
930616,2768,0.609
